,WD,arkid,nameAuth,urlAuth,Auktoriserad,Datum,Auktoritetspost,WD_Arken
3394,,,Adams-Ray (släkt),Adams-Ray-släkt,Adams-Ray (släkt),,ediffah:kb:688055:1137069059,Arken_only
3396,,,Adelsköld (släkt),Adelsköld-släkt,Adelsköld (släkt),,ediffah:kb:482202:1457702780,Arken_only
3400,,,"Adlercreutz, Hedvig","Adlercreutz,-Hedvig","Adlercreutz, Hedvig",1832-1905,ediffah:kb:584691:1348770251,Arken_only
3408,,,"Aghnides, Thanassis","Aghnides,-Thanassis","Aghnides, Thanassis",1889-1984,ediffah:kb:285979:1415978596,Arken_only
3409,,,"Agrell, Carl Christian","Agrell,-Carl-Christian","Agrell, Carl Christian",1780-1838,ediffah:kb:587676:1189788900,Arken_only
3410,,,"Ahlbom, Frans Leonard","Ahlbom,-Frans-Leonard","Ahlbom, Frans Leonard",1816-1860,ediffah:kb:587676:1189788900,Arken_only
3411,,,"Ahlgren, Gerda","Ahlgren,-Gerda","Ahlgren, Gerda",1856-1945,ediffah:kb:671155:1436943082,Arken_only
3413,,,"Ahlström, Christine","Ahlström,-Christine","Ahlström, Christine",1807-1890,ediffah:kb:196469:1384421920,Arken_only
3414,,,"Ahnfelt-Rönne, Ragna","Ahnfelt-Rönne,-Ragna","Ahnfelt-Rönne, Ragna",1890-1951,ediffah:kb:963551:1415345577,Arken_only
3415,,,"Ahnlund, Mats",ahnlund-mats,"Ahnlund, Mats",1944-,http://libris.kb.se/resource/auth/306056,Arken_only
3420,,,"Albert, Eugen de","Albert,-Eugen-de","Albert, Eugen de",1864-1932,ediffah:kb:390595:1486627474,Arken_only
3425,,,"Alexandersson, Nils",Nils-Alexandersson,"Alexandersson, Nils",1875-1960,ediffah:kb:687933:1188312210,Arken_only
3427,,,"Algoth, Carl Anders Gösta","Algoth,-Carl-Anders-Gösta","Algoth, Carl Anders Gösta",1911-1997,ediffah:kb:843551:1163604681,Arken_only
3428,,,"Algoth, Jane Frideborg","Algoth,-Jane-Frideborg","Algoth, Jane Frideborg",1911-2000,ediffah:kb:843551:1163604681,Arken_only
3430,,,"Allander, Bernhard","Allander,-Bernhard","Allander, Bernhard",1887-1953,ediffah:kb:458656:1457102489,Arken_only
3434,,,"Alm, Petrus",alm-pehr,"Alm, Petrus",1762-1824,https://libris.kb.se/lwlblz7tjxv84qwt#it,Arken_only
3437,,,"Almgren, Karl August Haquin","Almgren,-Karl-August-Haquin","Almgren, Karl August Haquin",1851-1906,ediffah:kb:587676:1189788900,Arken_only
3438,,,"Almgren, Skulda Engla Hildur","Almgren,-Skulda-Engla-Hildur","Almgren, Skulda Engla Hildur",1838-,ediffah:kb:425210:1462280184,Arken_only
3441,,,"Almquist, Petrus","Almquist,-Petrus","Almquist, Petrus",1700-,ediffah:kb:638333:1147943450,Arken_only
3442,,,"Almqvist, Kurt",almqvist-kurt,"Almqvist, Kurt",1912-2001,http://libris.kb.se/resource/auth/176181,Arken_only
3443,,,"Almstedt, L F","Almstedt,-L-F","Almstedt, L F",1863-,ediffah:kb:587676:1189788900,Arken_only
3444,,,"Alw, Carl Gabriel","Alw,-Carl-Gabriel","Alw, Carl Gabriel",1889-1946,ediffah:kb:778234:1180423825,Arken_only
3447,,,"Ameen, Wilhelmina Julia Hildegard","Ameen,-Wilhelmina-Julia-Hildegard","Ameen, Wilhelmina Julia Hildegard",,ediffah:kb:129023:1187182650,Arken_only
3448,,,"Aminoff, Elisabeth","Aminoff,-Elisabeth,-f-af-Edholm","Aminoff, Elisabeth",1874-1967,ediffah:kb:319100:1415976468,Arken_only
3449,,,"Aminoff, Georg Erik Carl Vilhelm","Aminoff,-Georg-Erik-Carl-Vilhelm","Aminoff, Georg Erik Carl Vilhelm",1895-1977,ediffah:kb:163772:1223983965,Arken_only
3450,,,"Aminoff, Margareta Lovisa","Aminoff,-Margareta-Lovisa","Aminoff, Margareta Lovisa",1762-1787,ediffah:kb:736493:1414496164,Arken_only
3451,,,"Aminoff, Signhild","Aminoff,-Signhild,-f-Posse","Aminoff, Signhild",1901-1979,ediffah:kb:163772:1223983965,Arken_only
3452,,,Amitié Franco-Suédoise,"L´Amitié-Franco-Suédoise,-Föreningen",Amitié Franco-Suédoise,,ediffah:kb:730203:1482849439,Arken_only
3459,,,"Andersson, August","Andersson,-August","Andersson, August",1848-1905,ediffah:kb:556487:1240994613,Arken_only
3460,,,"Andersson, Axel","Andersson,-Axel","Andersson, Axel",,ediffah:kb:556487:1240994613,Arken_only
