,WD,lagstiftande
0,Q107343224,kamm
1,Q98001102,LU
2,Q98001103,
3,Q98001101,JoU
4,Q98001105,
5,Q98001108,JoU
6,Q98001114,au
7,Q98001115,LU
8,Q98001119,BoU
9,Q98001116,
10,Q98001127,LU
11,Q98001131,
12,Q98001133,
13,Q98001137,JoU
14,Q98001141,BoU
15,Q98001150,
16,Q98001151,
17,Q98001148,BoU
18,Q98001149,
19,Q98001154,
20,Q98001153,
21,Q98001163,BoU
22,Q98001165,BoU
23,Q98001174,LU
24,Q98001175,JoU
25,Q98001181,LU
26,Q98001185,au
27,Q98001188,JoU
28,Q98001192,LU
29,Q98001199,
30,Q98001206,JoU
31,Q98000478,
32,Q98000518,
33,Q98000520,LU
34,Q98000530,
35,Q98000532,JoU
36,Q98000533,
37,Q98000538,BoU
38,Q98000543,JoU
39,Q98000547,BoU
40,Q98000545,JoU
41,Q98000548,
42,Q98000549,
43,Q98000891,
44,Q98000892,LU
45,Q98000906,
46,Q98000905,
47,Q98000908,
48,Q98000912,LU
49,Q98000917,LU
50,Q98000920,BoU
51,Q98000935,
52,Q98000938,JoU
53,Q98000944,
54,Q98000949,BoU
55,Q98000954,JoU
56,Q98000955,LU
57,Q98000957,LU
58,Q98000961,BoU
59,Q98000967,BoU
60,Q98000964,
61,Q98000968,
62,Q98000974,
63,Q98000972,LU
64,Q98000978,JoU
65,Q98000977,
66,Q98000987,JoU
67,Q98000985,
68,Q98000988,BoU
69,Q98000993,BoU
70,Q98004230,
71,Q98004231,
72,Q98004228,JoU
73,Q98004229,
74,Q98004235,BoU
75,Q98004232,BoU
76,Q98004233,sku
77,Q98004238,
78,Q98004236,juu
79,Q98007547,JoU
80,Q98007545,juu
81,Q98007551,
82,Q98007548,ubu
83,Q98007555,sfu
84,Q98007552,uu
85,Q98007559,JoU
86,Q98007556,BoU
87,Q98007570,JoU
88,Q98007568,BoU
89,Q98007578,BoU
90,Q98007579,juu
91,Q98007576,kru
92,Q98007580,JoU
93,Q98007581,ubu
94,Q98007591,
95,Q98007588,BoU
96,Q98007589,
97,Q98007599,JoU
98,Q98007597,BoU
99,Q98007602,uu
