,WikidataID,authorid,full_name,wd_hos_Litteraturbanken,authorid_norm,show,updated,imported,librisid,WD_Litteraturbanken
3173,,PetterssonS,Sven Pettersson,,PetterssonS,True,9999-01-01,9999-01-01,,Litterturbanken_only
3175,,ÅbergK,Katie Åberg,,AbergK,True,2023-01-30,2023-01-30,,Litterturbanken_only
3174,,BergstrandE,Erik Bergstrand,,BergstrandE,True,2023-01-30,2023-01-30,,Litterturbanken_only
3176,,KaulbachW,Wilhelm von Kaulbach,,KaulbachW,True,2023-01-30,2023-01-30,,Litterturbanken_only
3177,,BertrandA,Aloysius Bertrand,,BertrandA,True,2023-01-30,2023-01-30,,Litterturbanken_only
3178,,KörlingF,Felix Körling,,KorlingF,True,2023-01-30,2023-01-30,,Litterturbanken_only
3179,,BergenMBC,Maria Beata Catharina von Bergen,,BergenMBC,True,2023-01-30,2023-01-30,,Litterturbanken_only
3180,,AhlborgG,Georg Ahlborg,,AhlborgG,True,2023-01-30,2023-01-30,,Litterturbanken_only
3181,,AnderssonL,L. Andersson,,AnderssonL,True,2023-01-30,2023-01-30,,Litterturbanken_only
3494,,BrobergFA,Frans August Broberg,,BrobergFA,True,2023-01-30,2021-03-01,,Litterturbanken_only
3614,,ArfwidssonN,Nils Arfwidsson,Q5558934,ArfwidssonN,True,2023-01-09,2017-11-14,hftwzq01397wbbd,Litterturbanken_only
3182,,StridL,Lena Strid,,StridL,True,2022-11-28,2022-11-28,,Litterturbanken_only
3184,,SchwabitzLSE,Leontine S. E. Schwabitz,,SchwabitzLSE,True,2022-11-28,2022-11-28,,Litterturbanken_only
3183,,NyströmE,Erik Nyström,,NystromE,True,2022-11-28,2022-11-28,,Litterturbanken_only
3271,,BergströmFFT,Frans Frode Theodor Bergström,,BergstromFFT,True,2022-11-28,2021-11-29,,Litterturbanken_only
3185,,AndrénO,Olof Andrén,,AndrenO,True,2022-10-24,2022-10-24,,Litterturbanken_only
3186,,TuresonT,Torsten Tureson,,TuresonT,True,2022-10-24,2022-10-24,,Litterturbanken_only
3187,,SundqvistEW,E. W. Sundqvist,,SundqvistEW,True,2022-09-19,2022-09-19,,Litterturbanken_only
3188,,DahlbergJ,Johan Dahlberg,,DahlbergJ,True,2022-09-19,2022-09-19,,Litterturbanken_only
3489,,BeckmanEdvard,Edvard Beckman,,BeckmanEdvard,True,2022-09-19,2021-03-01,,Litterturbanken_only
3191,,PetterssonG,Gustaf Pettersson,,PetterssonG,True,2022-09-19,2022-09-19,,Litterturbanken_only
3190,,HulthJ,Johan Hulth,,HulthJ,True,2022-09-19,2022-09-19,,Litterturbanken_only
3189,,BengtssonH,Hans Bengtsson,,BengtssonH,True,2022-09-19,2022-09-19,,Litterturbanken_only
3198,,GyllensvärdS,Sven Gyllensvärd,,GyllensvardS,True,2022-08-22,2022-08-22,,Litterturbanken_only
3197,,ForsströmE,Edvard Forsström,,ForsstromE,True,2022-08-22,2022-08-22,,Litterturbanken_only
3196,,WallénA,Anders Wallén,,WallenA,True,2022-08-22,2022-08-22,,Litterturbanken_only
3195,,OldenbergF,Friedrich Oldenberg,,OldenbergF,True,2022-08-22,2022-08-22,,Litterturbanken_only
3194,,MalmgrenVE,V. E. Malmgren,,MalmgrenVE,True,2022-08-22,2022-08-22,,Litterturbanken_only
3193,,Sköldström,"Sköldström, sjökapten",,Skoldstrom,True,2022-08-22,2022-08-22,,Litterturbanken_only
3192,,PletschO,Oscar Pletsch,,PletschO,True,2022-08-22,2022-08-22,,Litterturbanken_only
3206,,SchönAugust,August Schön,,SchonAugust,True,2022-06-27,2022-06-27,,Litterturbanken_only
3208,,JohnsonA,August Johnson,,JohnsonA,True,2022-06-27,2022-06-27,,Litterturbanken_only
3211,,LundegårdK,Karl Lundegård,,LundegardK,True,2022-06-27,2022-06-27,,Litterturbanken_only
3203,,MagnellE,Ernst Magnell,,MagnellE,True,2022-06-27,2022-06-27,,Litterturbanken_only
3209,,LindbladA,Adolf Lindblad,,LindbladA,True,2022-06-27,2022-06-27,,Litterturbanken_only
3210,,ArnoE,Emil Arno,,ArnoE,True,2022-06-27,2022-06-27,,Litterturbanken_only
3205,,LydriksonA,Albin Lydrikson,,LydriksonA,True,2022-06-27,2022-06-27,,Litterturbanken_only
3199,,PetterssonOlinJ,Jonas Pettersson-Olin,,PetterssonOlinJ,True,2022-06-27,2022-06-27,,Litterturbanken_only
3200,,DahlinCS,C. S. Dahlin,,DahlinCS,True,2022-06-27,2022-06-27,,Litterturbanken_only
3201,,VesterAB,A. B. Vester,,VesterAB,True,2022-06-27,2022-06-27,,Litterturbanken_only
3204,,SvanlundYF,Yngve Fredrik Svanlund,,SvanlundYF,True,2022-06-27,2022-06-27,,Litterturbanken_only
3202,,SandbergE,Eric Sandberg,,SandbergE,True,2022-06-27,2022-06-27,,Litterturbanken_only
3207,,NilsdorffH,Heddi Nilsdorff,,NilsdorffH,True,2022-06-27,2022-06-27,,Litterturbanken_only
3212,,JaenzonAP,Anders Peter Jaenzon,,JaenzonAP,True,2022-06-27,2022-06-27,,Litterturbanken_only
3213,,RomdahlAL,Axel L. Romdahl,,RomdahlAL,True,2022-05-30,2022-05-30,,Litterturbanken_only
3215,,LindqvistT,Thure Lindqvist,,LindqvistT,True,2022-05-30,2022-05-30,,Litterturbanken_only
3216,,HasselbergB,Bertil Hasselberg,,HasselbergB,True,2022-05-30,2022-05-30,,Litterturbanken_only
3217,,LundebergA,Amalia Lundeberg,,LundebergA,True,2022-05-30,2022-05-30,,Litterturbanken_only
3218,,SteenKO,Karl-Olov Stéen,,SteenKO,True,2022-05-30,2022-05-30,,Litterturbanken_only
3214,,AhlborgJGR,Johnny G. R. Ahlborg,,AhlborgJGR,True,2022-05-30,2022-05-30,,Litterturbanken_only
3219,,TengwallCJ,Carl Johan Tengwall,,TengwallCJ,True,2022-05-30,2022-05-30,,Litterturbanken_only
3220,,StenholmC,Carl Stenholm,,StenholmC,True,2022-05-30,2022-05-30,,Litterturbanken_only
3493,,EngströmG,Carl Gustaf Engström,,EngstromG,True,2022-05-11,2021-03-01,,Litterturbanken_only
3226,,ElliotHM,Hilda Maria Elliot,,ElliotHM,True,2022-04-25,2022-04-25,,Litterturbanken_only
3223,,GranlundOF,O. F Granlund,,GranlundOF,True,2022-04-25,2022-04-25,,Litterturbanken_only
3227,,BergströmOE,Ottilia E:a Bergström,,BergstromOE,True,2022-04-25,2022-04-25,,Litterturbanken_only
3228,,LindströmL,Lars Lindström,,LindstromL,True,2022-04-25,2022-04-25,,Litterturbanken_only
3229,,MalmKV,Kristian Vilhelm Malm,,MalmKV,True,2022-04-25,2022-04-25,,Litterturbanken_only
3225,,GrossA,Amalie von Gross,,GrossA,True,2022-04-25,2022-04-25,,Litterturbanken_only
3222,,RingM,Max Ring,,RingM,True,2022-04-25,2022-04-25,,Litterturbanken_only
3221,,FlodinL,Ludvig Flodin,,FlodinL,True,2022-04-25,2022-04-25,,Litterturbanken_only
3607,,HadorphJdy,Johan Hadorph den yngre,,HadorphJdy,True,2022-04-25,2018-05-10,,Litterturbanken_only
3224,,KihlbergT,Theodor Kihlberg,,KihlbergT,True,2022-04-25,2022-04-25,,Litterturbanken_only
3231,,KöppelE,Emmy Köppel,,KoppelE,True,2022-03-28,2022-03-28,,Litterturbanken_only
3232,,SundeliusCH,Carl Herman Sundelius,,SundeliusCH,True,2022-03-28,2022-03-28,,Litterturbanken_only
3233,,BollstenJC,Johan Christian Bollsten,,BollstenJC,True,2022-03-28,2022-03-28,,Litterturbanken_only
3234,,BergenströmAJ,A. J. Bergenström,,BergenstromAJ,True,2022-03-28,2022-03-28,,Litterturbanken_only
3235,,CarstensFV,Fredrika Vilhelmina Carstens,,CarstensFV,True,2022-03-28,2022-03-28,,Litterturbanken_only
3230,,EngströmAgnes,Agnes Engström,,EngstromAgnes,True,2022-03-28,2022-03-28,,Litterturbanken_only
3236,,GrönwallW,Wilhelmina Grönwall,,GronwallW,True,2022-03-28,2022-03-28,,Litterturbanken_only
3237,,BerglindAG,Anders Georg Berglind,,BerglindAG,True,2022-03-28,2022-03-28,,Litterturbanken_only
3238,,BergerVL,V. L. Berger,,BergerVL,True,2022-03-28,2022-03-28,,Litterturbanken_only
3470,,BäckmanNP,Nils P. Bäckman,,BackmanNP,True,2022-03-10,2021-03-01,,Litterturbanken_only
3239,,VolynKA,Karl Adam Volyn,,VolynKA,True,2022-02-28,2022-02-28,,Litterturbanken_only
3244,,IvendorffCJ,Carl Johan Ivendorff,,IvendorffCJ,True,2022-02-28,2022-02-28,,Litterturbanken_only
3240,,LindgrenST,Selma Theodora Lindgren,,LindgrenST,True,2022-02-28,2022-02-28,,Litterturbanken_only
3243,,BillmarkCJ,Carl Johan Billmark,,BillmarkCJ,True,2022-02-28,2022-02-28,,Litterturbanken_only
3242,,HällgrenAG,Andreas Gustaf Hällgren,,HallgrenAG,True,2022-02-28,2022-02-28,,Litterturbanken_only
3241,,MeierE,Emma Meier,,MeierE,True,2022-02-28,2022-02-28,,Litterturbanken_only
