,item,itemLabel,NobelAPI,id,name_en,name_se,link,gender,awardYear,category,sameas,WD_Nobel,linkjson,linkhtml,wd
0,http://www.wikidata.org/entity/Q35149,Wilhelm Röntgen,1,1,Wilhelm Conrad Röntgen,Wilhelm Conrad Röntgen,https://api.nobelprize.org/2/laureate/1,male,1901,Physics,"['https://www.wikidata.org/wiki/Q35149', 'https://en.wikipedia.org/wiki/Wilhelm_Röntgen']",both,<a href='https://api.nobelprize.org/v1/laureate.json?id=1'>json</a>,<a href='https://www.nobelprize.org/laureate/1'>html</a>,<a href='http://www.wikidata.org/entity/Q35149'>Wikidata</a>
1,http://www.wikidata.org/entity/Q41688,Hendrik Lorentz,2,2,Hendrik A. Lorentz,Hendrik A. Lorentz,https://api.nobelprize.org/2/laureate/2,male,1902,Physics,"['https://www.wikidata.org/wiki/Q41688', 'https://en.wikipedia.org/wiki/Hendrik_Lorentz']",both,<a href='https://api.nobelprize.org/v1/laureate.json?id=2'>json</a>,<a href='https://www.nobelprize.org/laureate/2'>html</a>,<a href='http://www.wikidata.org/entity/Q41688'>Wikidata</a>
2,http://www.wikidata.org/entity/Q79000,Pieter Zeeman,3,3,Pieter Zeeman,Pieter Zeeman,https://api.nobelprize.org/2/laureate/3,male,1902,Physics,"['https://www.wikidata.org/wiki/Q79000', 'https://en.wikipedia.org/wiki/Pieter_Zeeman']",both,<a href='https://api.nobelprize.org/v1/laureate.json?id=3'>json</a>,<a href='https://www.nobelprize.org/laureate/3'>html</a>,<a href='http://www.wikidata.org/entity/Q79000'>Wikidata</a>
3,http://www.wikidata.org/entity/Q41269,Henri Becquerel,4,4,Henri Becquerel,Henri Becquerel,https://api.nobelprize.org/2/laureate/4,male,1903,Physics,"['https://www.wikidata.org/wiki/Q41269', 'https://en.wikipedia.org/wiki/Henri_Becquerel']",both,<a href='https://api.nobelprize.org/v1/laureate.json?id=4'>json</a>,<a href='https://www.nobelprize.org/laureate/4'>html</a>,<a href='http://www.wikidata.org/entity/Q41269'>Wikidata</a>
4,http://www.wikidata.org/entity/Q37463,Pierre Curie,5,5,Pierre Curie,Pierre Curie,https://api.nobelprize.org/2/laureate/5,male,1903,Physics,"['https://www.wikidata.org/wiki/Q37463', 'https://en.wikipedia.org/wiki/Pierre_Curie']",both,<a href='https://api.nobelprize.org/v1/laureate.json?id=5'>json</a>,<a href='https://www.nobelprize.org/laureate/5'>html</a>,<a href='http://www.wikidata.org/entity/Q37463'>Wikidata</a>
5,http://www.wikidata.org/entity/Q7186,Marie Curie,6,6,Marie Curie,Marie Curie,https://api.nobelprize.org/2/laureate/6,female,1903,Physics,"['https://www.wikidata.org/wiki/Q7186', 'https://en.wikipedia.org/wiki/Marie_Curie']",both,<a href='https://api.nobelprize.org/v1/laureate.json?id=6'>json</a>,<a href='https://www.nobelprize.org/laureate/6'>html</a>,<a href='http://www.wikidata.org/entity/Q7186'>Wikidata</a>
6,http://www.wikidata.org/entity/Q83297,"John Strutt, 3rd Baron Rayleigh",8,8,Lord Rayleigh,Lord Rayleigh,https://api.nobelprize.org/2/laureate/8,male,1904,Physics,"['https://www.wikidata.org/wiki/Q83297', 'https://en.wikipedia.org/wiki/John_Strutt,_3rd_Baron_Rayleigh']",both,<a href='https://api.nobelprize.org/v1/laureate.json?id=8'>json</a>,<a href='https://www.nobelprize.org/laureate/8'>html</a>,<a href='http://www.wikidata.org/entity/Q83297'>Wikidata</a>
7,http://www.wikidata.org/entity/Q57063,Philipp Lenard,9,9,Philipp Lenard,Philipp Lenard,https://api.nobelprize.org/2/laureate/9,male,1905,Physics,"['https://www.wikidata.org/wiki/Q57063', 'https://en.wikipedia.org/wiki/Philipp_Lenard']",both,<a href='https://api.nobelprize.org/v1/laureate.json?id=9'>json</a>,<a href='https://www.nobelprize.org/laureate/9'>html</a>,<a href='http://www.wikidata.org/entity/Q57063'>Wikidata</a>
8,http://www.wikidata.org/entity/Q47285,J. J. Thomson,10,10,J.J. Thomson,J.J. Thomson,https://api.nobelprize.org/2/laureate/10,male,1906,Physics,"['https://www.wikidata.org/wiki/Q47285', 'https://en.wikipedia.org/wiki/J._J._Thomson']",both,<a href='https://api.nobelprize.org/v1/laureate.json?id=10'>json</a>,<a href='https://www.nobelprize.org/laureate/10'>html</a>,<a href='http://www.wikidata.org/entity/Q47285'>Wikidata</a>
9,http://www.wikidata.org/entity/Q127234,Albert A. Michelson,11,11,Albert A. Michelson,Albert A. Michelson,https://api.nobelprize.org/2/laureate/11,male,1907,Physics,"['https://www.wikidata.org/wiki/Q127234', 'https://en.wikipedia.org/wiki/Albert_Abraham_Michelson']",both,<a href='https://api.nobelprize.org/v1/laureate.json?id=11'>json</a>,<a href='https://www.nobelprize.org/laureate/11'>html</a>,<a href='http://www.wikidata.org/entity/Q127234'>Wikidata</a>
10,http://www.wikidata.org/entity/Q133232,Gabriel Lippmann,12,12,Gabriel Lippmann,Gabriel Lippmann,https://api.nobelprize.org/2/laureate/12,male,1908,Physics,"['https://www.wikidata.org/wiki/Q133232', 'https://en.wikipedia.org/wiki/Gabriel_Lippmann']",both,<a href='https://api.nobelprize.org/v1/laureate.json?id=12'>json</a>,<a href='https://www.nobelprize.org/laureate/12'>html</a>,<a href='http://www.wikidata.org/entity/Q133232'>Wikidata</a>
11,http://www.wikidata.org/entity/Q36488,Guglielmo Marconi,13,13,Guglielmo Marconi,Guglielmo Marconi,https://api.nobelprize.org/2/laureate/13,male,1909,Physics,"['https://www.wikidata.org/wiki/Q36488', 'https://en.wikipedia.org/wiki/Guglielmo_Marconi']",both,<a href='https://api.nobelprize.org/v1/laureate.json?id=13'>json</a>,<a href='https://www.nobelprize.org/laureate/13'>html</a>,<a href='http://www.wikidata.org/entity/Q36488'>Wikidata</a>
12,http://www.wikidata.org/entity/Q57077,Ferdinand Braun,14,14,Ferdinand Braun,Ferdinand Braun,https://api.nobelprize.org/2/laureate/14,male,1909,Physics,"['https://www.wikidata.org/wiki/Q57077', 'https://en.wikipedia.org/wiki/Karl_Ferdinand_Braun']",both,<a href='https://api.nobelprize.org/v1/laureate.json?id=14'>json</a>,<a href='https://www.nobelprize.org/laureate/14'>html</a>,<a href='http://www.wikidata.org/entity/Q57077'>Wikidata</a>
13,http://www.wikidata.org/entity/Q131721,Johannes Diderik van der Waals,15,15,Johannes Diderik van der Waals,Johannes Diderik van der Waals,https://api.nobelprize.org/2/laureate/15,male,1910,Physics,"['https://www.wikidata.org/wiki/Q131721', 'https://en.wikipedia.org/wiki/Johannes_Diderik_van_der_Waals']",both,<a href='https://api.nobelprize.org/v1/laureate.json?id=15'>json</a>,<a href='https://www.nobelprize.org/laureate/15'>html</a>,<a href='http://www.wikidata.org/entity/Q131721'>Wikidata</a>
14,http://www.wikidata.org/entity/Q57068,Wilhelm Wien,16,16,Wilhelm Wien,Wilhelm Wien,https://api.nobelprize.org/2/laureate/16,male,1911,Physics,"['https://www.wikidata.org/wiki/Q57068', 'https://en.wikipedia.org/wiki/Wilhelm_Wien']",both,<a href='https://api.nobelprize.org/v1/laureate.json?id=16'>json</a>,<a href='https://www.nobelprize.org/laureate/16'>html</a>,<a href='http://www.wikidata.org/entity/Q57068'>Wikidata</a>
15,http://www.wikidata.org/entity/Q160518,Gustaf Dalén,17,17,Gustaf Dalén,Gustaf Dalén,https://api.nobelprize.org/2/laureate/17,male,1912,Physics,"['https://www.wikidata.org/wiki/Q160518', 'https://en.wikipedia.org/wiki/Gustaf_Dalén']",both,<a href='https://api.nobelprize.org/v1/laureate.json?id=17'>json</a>,<a href='https://www.nobelprize.org/laureate/17'>html</a>,<a href='http://www.wikidata.org/entity/Q160518'>Wikidata</a>
16,http://www.wikidata.org/entity/Q62891,Heike Kamerlingh Onnes,18,18,Heike Kamerlingh Onnes,Heike Kamerlingh Onnes,https://api.nobelprize.org/2/laureate/18,male,1913,Physics,"['https://www.wikidata.org/wiki/Q62891', 'https://en.wikipedia.org/wiki/Heike_Kamerlingh_Onnes']",both,<a href='https://api.nobelprize.org/v1/laureate.json?id=18'>json</a>,<a href='https://www.nobelprize.org/laureate/18'>html</a>,<a href='http://www.wikidata.org/entity/Q62891'>Wikidata</a>
17,http://www.wikidata.org/entity/Q57067,Max von Laue,19,19,Max von Laue,Max von Laue,https://api.nobelprize.org/2/laureate/19,male,1914,Physics,"['https://www.wikidata.org/wiki/Q57067', 'https://en.wikipedia.org/wiki/Max_von_Laue']",both,<a href='https://api.nobelprize.org/v1/laureate.json?id=19'>json</a>,<a href='https://www.nobelprize.org/laureate/19'>html</a>,<a href='http://www.wikidata.org/entity/Q57067'>Wikidata</a>
18,http://www.wikidata.org/entity/Q133747,William Henry Bragg,20,20,William Bragg,William Bragg,https://api.nobelprize.org/2/laureate/20,male,1915,Physics,"['https://www.wikidata.org/wiki/Q133747', 'https://en.wikipedia.org/wiki/William_Henry_Bragg']",both,<a href='https://api.nobelprize.org/v1/laureate.json?id=20'>json</a>,<a href='https://www.nobelprize.org/laureate/20'>html</a>,<a href='http://www.wikidata.org/entity/Q133747'>Wikidata</a>
19,http://www.wikidata.org/entity/Q131729,Lawrence Bragg,21,21,Lawrence Bragg,Lawrence Bragg,https://api.nobelprize.org/2/laureate/21,male,1915,Physics,"['https://www.wikidata.org/wiki/Q131729', 'https://en.wikipedia.org/wiki/William_Lawrence_Bragg']",both,<a href='https://api.nobelprize.org/v1/laureate.json?id=21'>json</a>,<a href='https://www.nobelprize.org/laureate/21'>html</a>,<a href='http://www.wikidata.org/entity/Q131729'>Wikidata</a>
20,http://www.wikidata.org/entity/Q160522,Charles Glover Barkla,22,22,Charles Glover Barkla,Charles Glover Barkla,https://api.nobelprize.org/2/laureate/22,male,1917,Physics,"['https://www.wikidata.org/wiki/Q160522', 'https://en.wikipedia.org/wiki/Charles_Glover_Barkla']",both,<a href='https://api.nobelprize.org/v1/laureate.json?id=22'>json</a>,<a href='https://www.nobelprize.org/laureate/22'>html</a>,<a href='http://www.wikidata.org/entity/Q160522'>Wikidata</a>
21,http://www.wikidata.org/entity/Q9021,Max Planck,23,23,Max Planck,Max Planck,https://api.nobelprize.org/2/laureate/23,male,1918,Physics,"['https://www.wikidata.org/wiki/Q9021', 'https://en.wikipedia.org/wiki/Max_Planck']",both,<a href='https://api.nobelprize.org/v1/laureate.json?id=23'>json</a>,<a href='https://www.nobelprize.org/laureate/23'>html</a>,<a href='http://www.wikidata.org/entity/Q9021'>Wikidata</a>
22,http://www.wikidata.org/entity/Q57092,Johannes Stark,24,24,Johannes Stark,Johannes Stark,https://api.nobelprize.org/2/laureate/24,male,1919,Physics,"['https://www.wikidata.org/wiki/Q57092', 'https://en.wikipedia.org/wiki/Johannes_Stark']",both,<a href='https://api.nobelprize.org/v1/laureate.json?id=24'>json</a>,<a href='https://www.nobelprize.org/laureate/24'>html</a>,<a href='http://www.wikidata.org/entity/Q57092'>Wikidata</a>
23,http://www.wikidata.org/entity/Q123026,Charles Édouard Guillaume,25,25,Charles Edouard Guillaume,Charles Edouard Guillaume,https://api.nobelprize.org/2/laureate/25,male,1920,Physics,"['https://www.wikidata.org/wiki/Q123026', 'https://en.wikipedia.org/wiki/Charles_Édouard_Guillaume']",both,<a href='https://api.nobelprize.org/v1/laureate.json?id=25'>json</a>,<a href='https://www.nobelprize.org/laureate/25'>html</a>,<a href='http://www.wikidata.org/entity/Q123026'>Wikidata</a>
24,http://www.wikidata.org/entity/Q937,Albert Einstein,26,26,Albert Einstein,Albert Einstein,https://api.nobelprize.org/2/laureate/26,male,1921,Physics,"['https://www.wikidata.org/wiki/Q937', 'https://en.wikipedia.org/wiki/Albert_Einstein']",both,<a href='https://api.nobelprize.org/v1/laureate.json?id=26'>json</a>,<a href='https://www.nobelprize.org/laureate/26'>html</a>,<a href='http://www.wikidata.org/entity/Q937'>Wikidata</a>
25,http://www.wikidata.org/entity/Q7085,Niels Bohr,27,27,Niels Bohr,Niels Bohr,https://api.nobelprize.org/2/laureate/27,male,1922,Physics,"['https://www.wikidata.org/wiki/Q7085', 'https://en.wikipedia.org/wiki/Niels_Bohr']",both,<a href='https://api.nobelprize.org/v1/laureate.json?id=27'>json</a>,<a href='https://www.nobelprize.org/laureate/27'>html</a>,<a href='http://www.wikidata.org/entity/Q7085'>Wikidata</a>
26,http://www.wikidata.org/entity/Q130975,Robert A. Millikan,28,28,Robert A. Millikan,Robert A. Millikan,https://api.nobelprize.org/2/laureate/28,male,1923,Physics,"['https://www.wikidata.org/wiki/Q130975', 'https://en.wikipedia.org/wiki/Robert_Andrews_Millikan']",both,<a href='https://api.nobelprize.org/v1/laureate.json?id=28'>json</a>,<a href='https://www.nobelprize.org/laureate/28'>html</a>,<a href='http://www.wikidata.org/entity/Q130975'>Wikidata</a>
27,http://www.wikidata.org/entity/Q170741,Manne Siegbahn,29,29,Manne Siegbahn,Manne Siegbahn,https://api.nobelprize.org/2/laureate/29,male,1924,Physics,"['https://www.wikidata.org/wiki/Q170741', 'https://en.wikipedia.org/wiki/Manne_Siegbahn']",both,<a href='https://api.nobelprize.org/v1/laureate.json?id=29'>json</a>,<a href='https://www.nobelprize.org/laureate/29'>html</a>,<a href='http://www.wikidata.org/entity/Q170741'>Wikidata</a>
28,http://www.wikidata.org/entity/Q57066,James Franck,30,30,James Franck,James Franck,https://api.nobelprize.org/2/laureate/30,male,1925,Physics,"['https://www.wikidata.org/wiki/Q57066', 'https://en.wikipedia.org/wiki/James_Franck']",both,<a href='https://api.nobelprize.org/v1/laureate.json?id=30'>json</a>,<a href='https://www.nobelprize.org/laureate/30'>html</a>,<a href='http://www.wikidata.org/entity/Q57066'>Wikidata</a>
29,http://www.wikidata.org/entity/Q57070,Gustav Ludwig Hertz,31,31,Gustav Hertz,Gustav Hertz,https://api.nobelprize.org/2/laureate/31,male,1925,Physics,"['https://www.wikidata.org/wiki/Q57070', 'https://en.wikipedia.org/wiki/Gustav_Ludwig_Hertz']",both,<a href='https://api.nobelprize.org/v1/laureate.json?id=31'>json</a>,<a href='https://www.nobelprize.org/laureate/31'>html</a>,<a href='http://www.wikidata.org/entity/Q57070'>Wikidata</a>
30,http://www.wikidata.org/entity/Q134085,Jean Perrin,32,32,Jean Baptiste Perrin,Jean Baptiste Perrin,https://api.nobelprize.org/2/laureate/32,male,1926,Physics,"['https://www.wikidata.org/wiki/Q134085', 'https://en.wikipedia.org/wiki/Jean_Baptiste_Perrin']",both,<a href='https://api.nobelprize.org/v1/laureate.json?id=32'>json</a>,<a href='https://www.nobelprize.org/laureate/32'>html</a>,<a href='http://www.wikidata.org/entity/Q134085'>Wikidata</a>
31,http://www.wikidata.org/entity/Q127944,Arthur Compton,33,33,Arthur H. Compton,Arthur H. Compton,https://api.nobelprize.org/2/laureate/33,male,1927,Physics,"['https://www.wikidata.org/wiki/Q127944', 'https://en.wikipedia.org/wiki/Arthur_Compton']",both,<a href='https://api.nobelprize.org/v1/laureate.json?id=33'>json</a>,<a href='https://www.nobelprize.org/laureate/33'>html</a>,<a href='http://www.wikidata.org/entity/Q127944'>Wikidata</a>
32,http://www.wikidata.org/entity/Q162900,Charles Thomson Rees Wilson,34,34,C.T.R. Wilson,C.T.R. Wilson,https://api.nobelprize.org/2/laureate/34,male,1927,Physics,"['https://www.wikidata.org/wiki/Q162900', 'https://en.wikipedia.org/wiki/Charles_Thomson_Rees_Wilson']",both,<a href='https://api.nobelprize.org/v1/laureate.json?id=34'>json</a>,<a href='https://www.nobelprize.org/laureate/34'>html</a>,<a href='http://www.wikidata.org/entity/Q162900'>Wikidata</a>
33,http://www.wikidata.org/entity/Q169330,Owen Willans Richardson,35,35,Owen Willans Richardson,Owen Willans Richardson,https://api.nobelprize.org/2/laureate/35,male,1928,Physics,"['https://www.wikidata.org/wiki/Q169330', 'https://en.wikipedia.org/wiki/Owen_Willans_Richardson']",both,<a href='https://api.nobelprize.org/v1/laureate.json?id=35'>json</a>,<a href='https://www.nobelprize.org/laureate/35'>html</a>,<a href='http://www.wikidata.org/entity/Q169330'>Wikidata</a>
34,http://www.wikidata.org/entity/Q83331,Louis de Broglie,36,36,Louis de Broglie,Louis de Broglie,https://api.nobelprize.org/2/laureate/36,male,1929,Physics,"['https://www.wikidata.org/wiki/Q83331', 'https://en.wikipedia.org/wiki/Louis_de_Broglie']",both,<a href='https://api.nobelprize.org/v1/laureate.json?id=36'>json</a>,<a href='https://www.nobelprize.org/laureate/36'>html</a>,<a href='http://www.wikidata.org/entity/Q83331'>Wikidata</a>
35,http://www.wikidata.org/entity/Q60429,C. V. Raman,37,37,Sir Chandrasekhara Venkata Raman,Sir Chandrasekhara Venkata Raman,https://api.nobelprize.org/2/laureate/37,male,1930,Physics,"['https://www.wikidata.org/wiki/Q60429', 'https://en.wikipedia.org/wiki/C._V._Raman']",both,<a href='https://api.nobelprize.org/v1/laureate.json?id=37'>json</a>,<a href='https://www.nobelprize.org/laureate/37'>html</a>,<a href='http://www.wikidata.org/entity/Q60429'>Wikidata</a>
36,http://www.wikidata.org/entity/Q40904,Werner Heisenberg,38,38,Werner Heisenberg,Werner Heisenberg,https://api.nobelprize.org/2/laureate/38,male,1932,Physics,"['https://www.wikidata.org/wiki/Q40904', 'https://en.wikipedia.org/wiki/Werner_Heisenberg']",both,<a href='https://api.nobelprize.org/v1/laureate.json?id=38'>json</a>,<a href='https://www.nobelprize.org/laureate/38'>html</a>,<a href='http://www.wikidata.org/entity/Q40904'>Wikidata</a>
37,http://www.wikidata.org/entity/Q9130,Erwin Schrödinger,39,39,Erwin Schrödinger,Erwin Schrödinger,https://api.nobelprize.org/2/laureate/39,male,1933,Physics,"['https://www.wikidata.org/wiki/Q9130', 'https://en.wikipedia.org/wiki/Erwin_Schrödinger']",both,<a href='https://api.nobelprize.org/v1/laureate.json?id=39'>json</a>,<a href='https://www.nobelprize.org/laureate/39'>html</a>,<a href='http://www.wikidata.org/entity/Q9130'>Wikidata</a>
38,http://www.wikidata.org/entity/Q47480,Paul Dirac,40,40,Paul A.M. Dirac,Paul A.M. Dirac,https://api.nobelprize.org/2/laureate/40,male,1933,Physics,"['https://www.wikidata.org/wiki/Q47480', 'https://en.wikipedia.org/wiki/Paul_Dirac']",both,<a href='https://api.nobelprize.org/v1/laureate.json?id=40'>json</a>,<a href='https://www.nobelprize.org/laureate/40'>html</a>,<a href='http://www.wikidata.org/entity/Q47480'>Wikidata</a>
39,http://www.wikidata.org/entity/Q80884,James Chadwick,41,41,James Chadwick,James Chadwick,https://api.nobelprize.org/2/laureate/41,male,1935,Physics,"['https://www.wikidata.org/wiki/Q80884', 'https://en.wikipedia.org/wiki/James_Chadwick']",both,<a href='https://api.nobelprize.org/v1/laureate.json?id=41'>json</a>,<a href='https://www.nobelprize.org/laureate/41'>html</a>,<a href='http://www.wikidata.org/entity/Q80884'>Wikidata</a>
40,http://www.wikidata.org/entity/Q78520,Victor Francis Hess,42,42,Victor F. Hess,Victor F. Hess,https://api.nobelprize.org/2/laureate/42,male,1936,Physics,"['https://www.wikidata.org/wiki/Q78520', 'https://en.wikipedia.org/wiki/Victor_Francis_Hess']",both,<a href='https://api.nobelprize.org/v1/laureate.json?id=42'>json</a>,<a href='https://www.nobelprize.org/laureate/42'>html</a>,<a href='http://www.wikidata.org/entity/Q78520'>Wikidata</a>
41,http://www.wikidata.org/entity/Q169366,Carl David Anderson,43,43,Carl D. Anderson,Carl D. Anderson,https://api.nobelprize.org/2/laureate/43,male,1936,Physics,"['https://www.wikidata.org/wiki/Q169366', 'https://en.wikipedia.org/wiki/Carl_David_Anderson']",both,<a href='https://api.nobelprize.org/v1/laureate.json?id=43'>json</a>,<a href='https://www.nobelprize.org/laureate/43'>html</a>,<a href='http://www.wikidata.org/entity/Q169366'>Wikidata</a>
