SBLnr,SBLlength,titel,Fodd,Dod,Band,Year
5490,12423,"Abelin, släkt",,,"Band 01 (1918), sida 1.",1918
5491,33602,Gustaf R Abelin,"Född:1819-05-17 – Linköpings Domkyrkoförsamling, Östergötlands län","Död:1903-09-19 – Kvillinge församling, Östergötlands län (på Björnsnäs)","Band 01 (1918), sida 5.",1918
5492,42039,Hjalmar A Abelin,"Född:1817-05-22 – Linköpings Domkyrkoförsamling, Östergötlands län","Död:1893-09-13 – Stockholms stad, Stockholms län","Band 01 (1918), sida 1.",1918
5493,22113,C Rudolf Z Abelin,"Född:1864-05-30 – Malmö stad, Skåne län","Död:1961 – Västra Karups församling, Kristianstads län","Band 01 (1918), sida 9.",1918
5494,27403,P Wilhelm Abenius,"Född:1864-05-21 – Orsa församling, Dalarnas län","Död:1956 – Ramsbergs församling, Örebro län","Band 01 (1918), sida 11.",1918
5495,18339, Abraham Brodersson,,Död:1410-08-27,"Band 01 (1918), sida 12.",1918
5496,13393,"Abrahamson, släkt",,,"Band 01 (1918), sida 15.",1918
5497,22141,August Abrahamson,"Född:1817-12-29 – Karlskrona stadsförsamling, Blekinge län","Död:1898-05-06 – Skallsjö församling, Älvsborgs län (på Nääs.)","Band 01 (1918), sida 15.",1918
5498,22692,Euphrosyne Abrahamson (f. Leman),"Född:1836-03-24 – Stockholms stad, Stockholms län",Död:1869-02-07,"Band 01 (1918), sida 17.",1918
5499,21991,Laurentius Gustaf Abrahamson,"Född:1856-03-02 – Medåkers församling, Västmanlands län",Död:1946,"Band 01 (1918), sida 13.",1918
5500,47542,Petter Abrahamsson,"Född:1668-07-29 – Stockholms stad, Stockholms län","Död:1741-04-20 – Stockholms stad, Stockholms län","Band 01 (1918), sida 19.",1918
5501,102439, Abrahamus Andreæ Angermannus,,Död:1607/08,"Band 01 (1918), sida 24.",1918
5503,33261,Erik Acharius,"Född:1757-10-10 – Gävle Heliga Trefaldighets församling, Gävleborgs län","Död:1819-08-14 – Vadstena församling, Östergötlands län","Band 01 (1918), sida 37.",1918
5504,12755,"Achrelius, släkt",,,"Band 01 (1918), sida 40.",1918
5505,30838,Daniel Achrelius,Född:1644 – Finland (i Åbo),Död:1692-04-23 – Finland (i Åbo),"Band 01 (1918), sida 40.",1918
5507,36064,Abraham Achrenius,"Född:1706-02-01 – Finland (i Somero socken, Tavastland.)",Död:1796-09-28 – Finland (i Nousis.),"Band 01 (1918), sida 42.",1918
5508,23095,J Axel G Acke,"Född:1859-04-07 – Adolf Fredriks församling, Stockholms län",Död:1924,"Band 01 (1918), sida 45.",1918
5509,30068,"Johan Gustaf Acrel, af","Född:1741-05-15 – Stockholms stad, Stockholms län",Död:1801-02-18,"Band 01 (1918), sida 54.",1918
5510,50518,Olof Acrel,"Född:1717-11-26 – Österåkers församling (AB-län), Stockholms län","Död:1806-05-28 – Stockholms stad, Stockholms län","Band 01 (1918), sida 47.",1918
5511,14589,"Acrelius, släkt",,,"Band 01 (1918), sida 56.",1918
5512,41400,Israel Acrelius,"Född:1714-12-04 – Österåkers församling (AB-län), Stockholms län","Död:1800-04-25 – Fellingsbro församling, Örebro län","Band 01 (1918), sida 57.",1918
