skblid,wid
ZarahLeander,Q46479
Sofiadrottning,Q130408
AnitaEkberg,Q230662
LovisaUlrikadrottning,Q234251
HedvigElisabetCharlottadrottning,Q236208
SofiaAlbertinaprinsessa,Q261929
ElinWagner,Q270468
AlfhildTamm,Q302106
AnnaBranting,Q434056
HannaPauli,Q436803
AuroravonKonigsmarck,Q440427
ValborgAulin,Q451402
TorunBulowHube,Q458135
KatarinaTaikon,Q466523
IngegerdTroedsson,Q517762
MartaHelenaReenstiernaArstafrun,Q517853
SophieAdolphineAdlersparre,Q531174
AnnaLisaWarnlof,Q561698
JennyNystrom,Q3100592
MariaRohl,Q3307830
AnnaMariaThelott,Q3307858
EvaRemaeus,Q3373253
CarinMannheimer,Q3427896
MarianneLofgren,Q3431866
SophieHagman,Q3490945
TuijaLydiaElisabethLindstrom,Q4262020
AgdaMontelius,Q4691673
AgdaRossel,Q4691675
AgnesBorjesson,Q4693023
AnnaMyrberg,Q4767368
MartaAfzelius,Q4933996
CatharinaAhlgren,Q4934495
EvaAlexanderson,Q4934869
AnneMarieAlfvenEriksson,Q4934997
AnnastinaAlkman,Q4935076
GretaArwidsson,Q4936707
SallyBauer,Q4937741
KajBeckman,Q4937885
IngridBjornberg,Q4939369
SigneBjornbergSiggeStark,Q4939373
SigridBlomberg,Q4939597
CarinMargaretaBoalt,Q4939679
ElsaBorg,Q4940090
CatharinaBroome,Q4940818
EmiliaBroome,Q4940821
ElinCederblom,Q4942361
MonaLisaEnglund,Q4943626
SiriDahlquist,Q4944048
BeatriceDickson,Q4944790
DagmarEbbesen,Q4945608
FredrikaEhrenborg,Q4945884
HelenaEkblomPredikareLena,Q4946043
AnnElefalk,Q4946278
BritaElmen,Q4946541
PhebeFjellstrom,Q4948221
LouiseFlodin,Q4948326
EmiliaFogelklou,Q4948398
SofiaGumaelius,Q4951333
KjerstinGoranssonLjungman,Q4951765
LouiseEuphrosyneHagberg,Q4951912
EllenRoosvalvonHallwyl,Q4952238
AttiJohansson,Q4956904
HannaCeciliaCillaJohnson,Q4957160
NinniKronberg,Q4959967
OlgaLanner,Q4960861
AnnaLarsson,Q4961034
SigridLeijonhufvud,Q4961641
GertrudLilja,Q4962138
EsterLindin,Q4962841
MariaMagdalenaMathsdotter,Q4966313
HelenaMunktell,Q4968368
AliceNordin,Q4970016
EllenMargitIngridNordin,Q4970041
IdaNorrby,Q4970301
AnnaMajaNylen,Q4970585
JeannaOterdahl,Q4971468
