,skblid,publishedDate,subtitle_sv
0,NinaEinhorn0,2021-05-21,"Läkare, forskare, Förintelseöverlevare"
1,MariaEleonoradrottning,2021-05-20,"Drottning av Sverige, kurprinsessa av Brandenburg"
2,DagmarSigbrittLilKarholaWettergren,2021-05-20,"Jurist, företagare, pionjär"
3,SigridEkehielm,2021-05-18,"Godsägare, bruksägare"
4,EmilySporck,2021-05-11,"Läkare, pionjär"
5,AnnaLindblom,2021-05-11,"Barnmorska, sjukgymnast, hjälparbetare"
6,HedvigTaube,2021-05-11,"Hovfröken, kunglig mätress"
7,SigneMagdalenaBarth,2021-05-10,"Konstnär, lärare, skolgrundare"
8,AnnaSofiaCharlottaWindrowHolm,2021-05-10,"Barnmorska, läkare"
9,ElisabethBeskow,2021-05-09,Författare
10,GustavaElisabethWrnBugge,2021-04-28,"Hemslöjdsexpert, rösträttskvinna, fredsaktivist"
11,MariaMatildaAuroraWidegrenWidegren,2021-04-28,"Lärare, fredsaktivist, människorättsaktivist"
12,AnnaKleman,2021-04-13,"Rösträttskvinna, fredsaktivist"
13,GretaSigridElisabethEngkvist,2021-04-08,"Lärare, folkbildare, fredsaktivist"
14,MajLorents,2021-04-08,"Översättare, journalist"
15,KarinMobring,2021-03-30,Möbelformgivare
16,MartaLisaLizzieOlssonArle,2021-03-30,"Konstnär, lärare"
17,AstridLydiaJosefinaKindstrand,2021-03-30,"Nyhetsuppläsare, pionjär, lärare"
18,HelgaSilverstolpe,2021-03-29,"Rösträttskvinna, lärare"
19,BritaEdfelt,2021-03-29,Översättare
20,MargitElisabetKarlsson,2021-03-27,Fotograf
21,SigridEvaGabriellaAminoff,2021-03-27,Konstnär
22,AnjaMaritaNotini,2021-03-27,"Författare, konstnär, keramiker"
23,GerdaAhlm,2021-03-27,"Konstnär, konservator"
24,KerstinHallen,2021-03-27,"Journalist, översättare"
25,GerdaAugustaSoderlund,2021-03-27,Fotograf
26,ZaidaHagman,2021-03-26,"Fredsaktivist, feminist, undersköterska"
27,LillemorKim,2021-03-26,"Högskolerektor, forskare, debattör"
28,CarolineJohannaLovisaRidderstolpe,2021-03-26,"Tonsättare, hovdam"
29,AmandaMaierRontgen,2021-03-26,"Musiker, kompositör, pionjär"
30,HilmaMariaPerssonHjelm,2021-03-25,"Konstnär, keramiker, lärare"
31,MartaKristinaBerg,2021-03-25,Fotograf
32,EllinorCarlemanBeorecz,2021-03-25,"Advokat, politiker"
33,UlrikaEleonoradadrottning,2021-03-25,"Drottning av Sverige, filantrop"
34,MaudHansson,2021-03-24,Skådespelare
35,KerstinAnckers0,2021-03-24,"Kalligraf, skolgrundare"
36,UllaSchumacherPercy,2021-03-23,"Textilkonstnär, lärare"
37,VeraEbbaMatildaCharlottaKnutsdotterHaij,2021-03-23,Keramiker
38,SelmaKristinaWestberg,2021-03-22,Fotograf
39,EbbaLjunggren,2021-03-22,Tidningsdirektör
40,GerdaHelgaElisabethStromberg,2021-03-22,"Formgivare, glaskonstnär"
41,WinifredCarolineDianaMiller,2021-03-22,"Sångare, revyartist, nattklubbsägare"
42,BarbroHedvigViktoriaSalen,2021-03-22,"Mecenat, operaentusiast"
43,HildegardKatarinaThorell,2021-03-22,Konstnär
44,GudrunSeitz,2021-03-20,"Psykoterapeut, pionjär inom barnpsykoterapin"
45,HildurKristinaEricsson,2021-03-20,"Politiker, riksdagsledamot, kvinnosakskvinna"
46,AnnaAgner,2021-03-20,Konstnär
47,ShinYooSusanneCharlotteElisabethBrink,2021-03-20,Antirasistisk taleskvinna
48,MargitGunnarsdotterWestin,2021-03-19,"Textilkonstnär, lärare, politiker"
49,AstridIngeborgElisabetLizzyStein,2021-03-19,"Skådespelare, sångare, revyartist"
50,AnnaGardellEricson,2021-03-19,Konstnär
51,KarinSommarElmer,2021-03-18,"Författare, rösträttskvinna, människorättsaktivist"
52,EmmaChristinaJonsteg,2021-03-17,"Arkitekt, debattör, poddare"
53,KarinOlsdotter,2021-03-17,Abbedissa
54,EllenKleman,2021-03-17,"Publicist, redaktör, kvinnosakskvinna"
55,SiriBerg0,2021-03-16,"Konstnär, lärare"
56,ViviEdstrom,2021-03-16,"Litteraturhistoriker, professor, pionjär"
57,RuthEttlinger,2021-03-16,"Läkare, psykiater, pionjär inom suicidpreventionen"
58,MartaGretaEriksson,2021-03-16,"Musiker, pianist, professor"
59,RagnhildSandstrom,2021-03-15,"Lärare, journalist, riksdagsledamot"
60,GertrudKatarinaMatildaafKlintberg,2021-03-15,"Socialarbetare, filantrop, pionjär"
