publishedDate,birthdate,deathdate,birthparish,deathparish,ISNI,SKBL,index,skbl_status,firstname,lastname,subtitle
2021-02-28,1888-02-13,1961-09-24,Örkelljunga församling,Maria församling,,AgnesViktoriaElinHansson,1903,OK,/Agnes/ Viktoria Elin,Hansson,Amatörfotograf
2021-02-24,1925-12-02,2019-01-21,Jukkasjärvi församling,Jukkasjärvi församling,,AliceErikssonKalla,1904,OK,/Alice/ Ingeborg,Eriksson Kalla,"Arbetslägeröverlevare, en av Kirunasvenskarna"
2021-02-20,1880-01-10,1962-04-30,Jacobs församling,Engelbrekts församling,,AlmaGunillaMariaGullNatorp,1905,OK,Alma Gunilla Maria (/Gull/),Natorp,Skådespelare
2021-03-06,1852-03-10,1935-11-27,Gällstads församling,Hovförsamlingen,,AnnaKarlsohn,1906,OK,/Anna/ Margareta,Karlsohn,Operasångare
2021-03-10,1877-08-31,1964-03-14,Husby-Oppunda församling,Hägerstens församling,,AnnaMariaVogel,1907,OK,/Anna/ Maria,Vogel,"Sjuksköterska, föreståndare, människorättsaktivist"
2021-03-04,1921-08-13,2016-10-12,Uddevalla församling,Överjärna församling,,BeataBergstrom,1908,OK,Hedvig /Beata/ Marianne,Bergström,"Teaterfotograf, pionjär"
2021-03-01,1855-02-12,1928-10-10,Kristinehamns församling,,,BedaWennerqvist0,1909,OK,/Beda/,Wennerqvist,"Missionär, lärare, skolföreståndare"
2021-03-06,1876-12-29,1960-10-06,Västerviks församling,Mora församling,,BertaHallgren,1910,OK,/Berta/,Hallgren,Fotograf
2021-02-24,1893-08-11,1961-12-09,,Bunge församling,,BertaPersson,1911,OK,/Berta/ Albertina,Persson,"Busschaufför, pionjär, företagare"
2021-03-01,1940-12-30,2000-09-07,Sofia församling,Örgryte församling,,BirgittaPalme0,1912,OK,/Birgitta/,Palme,"Skådespelare, teaterchef, regissör"
2021-03-04,1864-07-26,1926-03-19,Rättviks församling,Östhammar församling,,BritaSkotsner,1913,OK,Eskils /Brita/,Skötsner,Fotograf
