,index,WD,SvenskaAkademin,wdReplace,wdReplaceBy,wdStart,wdEnd,wdOrdinal,chairOrder,SvChair,SvStart,SvEnd,wdEndDate,orderNumber,replacedByWD,newWDChair,replaceWD
0,48,Q491083,hopken-anders-johan-von,Q491083,Q491083,1786-04-05,1789-05-09 00:00:00+00:00,1,1,1,1786-04-05,1789-05-09,1789-05-09,1,Q4358870,Q96599799,
1,74,Q4358870,gyldenstolpe-nils-philip,Q4358870,Q4358870,1789-06-18,1810-02-20 00:00:00+00:00,2,1,1,1789-12-11,1810-02-20,1810-02-20,2,Q1355965,Q96599799,Q491083
2,201,Q1355965,wallin-johan-olof,Q1355965,Q1355965,1811-05-29,1839-06-30 00:00:00+00:00,3,1,1,1811-05-29,1839-06-30,1839-06-30,3,Q1959091,Q96599799,Q4358870
3,215,Q1959091,fryxell-anders,Q1959091,Q1959091,1841-05-23,1881-03-21 00:00:00+00:00,4,1,1,1841-05-23,1881-03-21,1881-03-21,4,Q2291097,Q96599799,Q1355965
4,146,Q2291097,forssell-hans,Q2291097,Q2291097,1881-12-20,1901-07-31 00:00:00+00:00,5,1,1,1881-12-20,1901-07-31,1901-07-31,5,Q2070822,Q96599799,Q1959091
5,126,Q2070822,bildt-carl,Q2070822,Q2070822,1902-06-20,1931-01-26 00:00:00+00:00,6,1,1,1902-06-20,1931-01-26,1931-01-26,6,Q2193692,Q96599799,Q2291097
6,144,Q2193692,wedberg-birger,Q2193692,Q2193692,1931-12-20,1945-10-02 00:00:00+00:00,7,1,1,1931-12-20,1945-10-02,1945-10-02,7,Q2286404,Q96599799,Q2070822
7,145,Q2286404,ekeberg-birger,Q2286404,Q2286404,1945-12-20,1968-11-30 00:00:00+00:00,8,1,1,1945-12-20,1968-11-30,1968-11-30,8,Q736172,Q96599799,Q2193692
8,178,Q736172,petren-sture,Q736172,Q736172,1969-12-20,1976-12-13 00:00:00+00:00,9,1,1,1969-12-20,1976-12-13,1976-12-13,9,Q1358507,Q96599799,Q2286404
9,203,Q1358507,rudholm-sten,Q1358507,Q1358507,1977-12-20,2008-11-29 00:00:00+00:00,10,1,1,1977-12-20,2008-11-29,2008-11-29,10,Q264036,Q96599799,Q736172
10,15,Q264036,lotass-lotta,Q264036,Q264036,2009-12-20,2018-05-07 00:00:00+00:00,11,1,1,2009-12-20,2018-05-07,2018-05-07,11,Q55338841,Q96599799,Q1358507
11,142,Q55338841,runesson-eric-m,Q55338841,Q55338841,2018-12-20,,12,1,1,2018-12-20,,,12,,Q96599799,Q264036
12,25,Q330454,edelcrantz-fore-adlandet-clewberg-abraham-niclas,Q330454,Q330454,1786-12-02,1821-03-15 00:00:00+00:00,1,2,2,1786-12-02,1821-03-15,1821-03-15,1,Q2527336,Q96600293,
13,153,Q2527336,hagberg-carl-peter,Q2527336,Q2527336,1821-10-29,1841-09-15 00:00:00+00:00,2,2,2,1821-10-29,1841-09-15,1841-09-15,2,Q2064881,Q96600293,Q330454
14,125,Q2064881,fahlcrantz-christian,Q2064881,Q2064881,1844-01-15,1866-08-06 00:00:00+00:00,3,2,2,1844-01-15,1866-08-06,1866-08-06,3,Q1388588,Q96600293,Q2527336
15,204,Q1388588,wennerberg-gunnar,Q1388588,Q1388588,1867-12-20,1901-08-24 00:00:00+00:00,4,2,2,1867-12-20,1901-08-24,1901-08-24,4,Q2001721,Q96600293,Q2064881
