organ,rm,0
JuU,2019/20,63532
SoU,2019/20,63526
SkU,2019/20,63459
UbU,2019/20,47619
KU,2019/20,31758
MJU,2019/20,15937
NU,2019/20,15903
KrU,2019/20,15885
SoU,2021/22,599
TU,2021/22,514
MJU,2021/22,512
SoU,2020/21,488
JuU,2021/22,483
TU,2020/21,448
UbU,2021/22,394
MJU,2020/21,390
JuU,2020/21,373
SkU,2021/22,339
SkU,2020/21,322
UbU,2020/21,314
CU,2021/22,310
CU,2020/21,297
SfU,2021/22,278
NU,2021/22,267
KU,2021/22,267
SfU,2020/21,249
KU,2020/21,249
NU,2020/21,248
FiU,2021/22,177
UU,2021/22,172
KrU,2021/22,167
UU,2020/21,167
KrU,2020/21,163
FiU,2020/21,147
AU,2021/22,143
AU,2020/21,139
FöU,2021/22,108
FöU,2020/21,98
TU,2019/20,91
UU,2019/20,74
CU,2019/20,70
SfU,2019/20,57
FiU,2019/20,56
,2021/22,47
AU,2019/20,36
FöU,2019/20,33
,2020/21,21
,2019/20,11
TU,2022/23,1
UU,2022/23,1
SoU,2022/23,1
